"date","value","topic","variable_short","variable_long","location","unit","source","update","public","description"
2020-01-01,7,"Mobilität","Bus/Car","Aufkommen MIV nach Fahrzeugkategorie an Messstelle Kilchberg (ZH0109)","CH","Anzahl","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19_mobility_ZaehlstellenMIVVeloKantonZH"
2020-01-01,176,"Mobilität","Lastwagen/Sattelzug","Aufkommen MIV nach Fahrzeugkategorie an Messstelle Kilchberg (ZH0109)","CH","Anzahl","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19_mobility_ZaehlstellenMIVVeloKantonZH"
2020-01-01,155,"Mobilität","Lieferwagen","Aufkommen MIV nach Fahrzeugkategorie an Messstelle Kilchberg (ZH0109)","CH","Anzahl","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19_mobility_ZaehlstellenMIVVeloKantonZH"
2020-01-01,62,"Mobilität","Motorrad","Aufkommen MIV nach Fahrzeugkategorie an Messstelle Kilchberg (ZH0109)","CH","Anzahl","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19_mobility_ZaehlstellenMIVVeloKantonZH"
2020-01-01,6020,"Mobilität","Personenwagen","Aufkommen MIV nach Fahrzeugkategorie an Messstelle Kilchberg (ZH0109)","CH","Anzahl","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19_mobility_ZaehlstellenMIVVeloKantonZH"
2020-01-02,6,"Mobilität","Bus/Car","Aufkommen MIV nach Fahrzeugkategorie an Messstelle Kilchberg (ZH0109)","CH","Anzahl","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19_mobility_ZaehlstellenMIVVeloKantonZH"
2020-01-02,162,"Mobilität","Lastwagen/Sattelzug","Aufkommen MIV nach Fahrzeugkategorie an Messstelle Kilchberg (ZH0109)","CH","Anzahl","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19_mobility_ZaehlstellenMIVVeloKantonZH"
2020-01-02,192,"Mobilität","Lieferwagen","Aufkommen MIV nach Fahrzeugkategorie an Messstelle Kilchberg (ZH0109)","CH","Anzahl","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19_mobility_ZaehlstellenMIVVeloKantonZH"
2020-01-02,77,"Mobilität","Motorrad","Aufkommen MIV nach Fahrzeugkategorie an Messstelle Kilchberg (ZH0109)","CH","Anzahl","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19_mobility_ZaehlstellenMIVVeloKantonZH"
2020-01-02,6265,"Mobilität","Personenwagen","Aufkommen MIV nach Fahrzeugkategorie an Messstelle Kilchberg (ZH0109)","CH","Anzahl","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19_mobility_ZaehlstellenMIVVeloKantonZH"
